,lr,step,train_loss,eval_loss
0,0.1,12672.0,0.14794352650642395,0.2890077735049815
1,0.1,25472.0,0.20145553350448608,0.24593572417580628
2,0.1,38272.0,0.12504670023918152,0.34697657476969157
3,0.1,51072.0,0.165797621011734,0.19539911953048616
4,0.1,63872.0,0.05570722371339798,0.23273125625675237
5,0.1,76672.0,0.2806163728237152,0.15009286113472395
6,0.1,89472.0,0.07586096227169037,0.17467825354925723
7,0.1,102272.0,0.14165763556957245,0.12738349953300873
8,0.1,115072.0,0.06772798299789429,0.1284872876904622
9,0.1,127872.0,0.12864157557487488,0.12607124050831586
10,0.1,140672.0,0.12046433985233307,0.13743868590438668
11,0.1,153472.0,0.2555874288082123,0.39122532628759554
12,0.1,166272.0,0.12711703777313232,0.11248171380853658
13,0.1,179072.0,0.35583770275115967,0.09389882134067343
14,0.1,191872.0,0.0824698880314827,0.17076230295521172
15,0.1,204672.0,0.27341169118881226,0.091733680476576
16,0.1,217472.0,0.06526654958724976,0.07519884274895244
17,0.1,230272.0,0.09251022338867188,0.08373222320894652
18,0.1,243072.0,0.07996000349521637,0.07857467767121594
19,0.1,255872.0,0.09744858741760254,0.08567590460982881
20,0.1,268672.0,0.12007495015859604,0.3850138906368844
21,0.1,281472.0,0.1388484686613083,0.11227804529362748
22,0.1,294272.0,0.0938643142580986,0.09547202557154424
23,0.1,307072.0,0.20498043298721313,0.07123961170053675
24,0.1,319872.0,0.09296752512454987,0.08723715405514805
25,0.1,332672.0,0.13174401223659515,0.12867555788959836
26,0.1,345472.0,0.03828330710530281,0.10279582986236797
27,0.1,358272.0,0.16527056694030762,0.17578630394426092
28,0.1,371072.0,0.07155214250087738,0.08355096401352011
29,0.1,383872.0,0.18185369670391083,0.10629935205112435
30,0.1,396672.0,0.05988270789384842,0.07127755478354572
31,0.1,409472.0,0.059860777109861374,0.0966529167858483
32,0.1,422272.0,0.08097471296787262,0.08211354006677159
33,0.1,435072.0,0.08020570874214172,0.09743065717983755
34,0.1,447872.0,0.06891337037086487,0.0775700002227898
35,0.1,460672.0,0.08751987665891647,0.06676355488539402
