,data_size,model_size,eval_loss,compute
306,1.0,11.31,1.65,128.0
307,0.71,11.31,1.34,90.51
308,0.5,11.31,1.46,64.0
309,0.35,11.31,1.55,45.25
310,0.25,11.31,2.19,32.0
311,0.18,11.31,1.83,22.63
312,0.12,11.31,2.01,16.0
313,0.09,11.31,2.06,11.31
314,0.06,11.31,1.81,8.0
315,1.0,16.0,1.62,256.0
316,0.71,16.0,1.41,181.02
317,0.5,16.0,1.26,128.0
318,0.35,16.0,1.72,90.51
319,0.25,16.0,1.4,64.0
320,0.18,16.0,2.02,45.25
321,0.12,16.0,2.12,32.0
322,0.09,16.0,1.76,22.63
323,0.06,16.0,2.75,16.0
324,1.0,1.0,4.87,1.0
325,0.71,1.0,6.29,0.71
326,0.5,1.0,4.09,0.5
327,0.35,1.0,5.06,0.35
328,0.25,1.0,5.63,0.25
329,0.18,1.0,7.18,0.18
330,0.12,1.0,8.19,0.12
331,0.09,1.0,6.56,0.09
332,0.06,1.0,6.95,0.06
333,1.0,1.41,3.0,2.0
334,0.71,1.41,3.33,1.41
335,0.5,1.41,2.98,1.0
336,0.35,1.41,3.33,0.71
337,0.25,1.41,3.74,0.5
338,0.18,1.41,4.59,0.35
339,0.12,1.41,5.7,0.25
340,0.09,1.41,4.9,0.18
341,0.06,1.41,7.94,0.12
342,1.0,2.0,2.45,4.0
343,0.71,2.0,2.21,2.83
344,0.5,2.0,2.24,2.0
345,0.35,2.0,3.29,1.41
346,0.25,2.0,2.31,1.0
347,0.18,2.0,4.05,0.71
348,0.12,2.0,2.67,0.5
349,0.09,2.0,3.7,0.35
350,0.06,2.0,5.43,0.25
351,1.0,2.83,1.85,8.0
352,0.71,2.83,2.11,5.66
353,0.5,2.83,1.38,4.0
354,0.35,2.83,2.42,2.83
355,0.25,2.83,2.67,2.0
356,0.18,2.83,2.52,1.41
357,0.12,2.83,2.18,1.0
358,0.09,2.83,3.63,0.71
359,0.06,2.83,4.78,0.5
360,1.0,4.0,1.76,16.0
361,0.71,4.0,1.72,11.31
362,0.5,4.0,1.74,8.0
363,0.35,4.0,1.96,5.66
364,0.25,4.0,1.92,4.0
365,0.18,4.0,2.0,2.83
366,0.12,4.0,2.7,2.0
367,0.09,4.0,2.5,1.41
368,0.06,4.0,3.87,1.0
369,1.0,5.66,1.5,32.0
370,0.71,5.66,1.7,22.63
371,0.5,5.66,1.58,16.0
372,0.35,5.66,1.65,11.31
373,0.25,5.66,2.11,8.0
374,0.18,5.66,2.23,5.66
375,0.12,5.66,1.79,4.0
376,0.09,5.66,2.82,2.83
377,0.06,5.66,2.64,2.0
378,1.0,8.0,1.46,64.0
379,0.71,8.0,1.55,45.25
380,0.5,8.0,1.72,32.0
381,0.35,8.0,1.64,22.63
382,0.25,8.0,1.82,16.0
383,0.18,8.0,1.59,11.31
384,0.12,8.0,2.05,8.0
385,0.09,8.0,2.11,5.66
386,0.06,8.0,3.33,4.0
387,1.0,11.31,1.78,128.0
388,0.71,11.31,1.45,90.51
389,0.5,11.31,1.32,64.0
390,0.35,11.31,2.02,45.25
391,0.25,11.31,1.32,32.0
392,0.18,11.31,1.71,22.63
393,0.12,11.31,2.51,16.0
394,0.09,11.31,1.75,11.31
395,0.06,11.31,3.12,8.0
396,1.0,16.0,1.51,256.0
397,0.71,16.0,1.38,181.02
398,0.5,16.0,1.64,128.0
399,0.35,16.0,1.74,90.51
400,0.25,16.0,1.62,64.0
401,0.18,16.0,1.82,45.25
402,0.12,16.0,2.16,32.0
403,0.09,16.0,2.23,22.63
404,0.06,16.0,2.11,16.0
405,1.0,1.0,4.55,1.0
406,0.71,1.0,3.78,0.71
407,0.5,1.0,4.42,0.5
408,0.35,1.0,5.05,0.35
409,0.25,1.0,6.15,0.25
410,0.18,1.0,6.38,0.18
411,0.12,1.0,6.17,0.12
412,0.09,1.0,7.16,0.09
413,0.06,1.0,8.04,0.06
414,1.0,1.41,2.93,2.0
415,0.71,1.41,3.58,1.41
416,0.5,1.41,4.0,1.0
417,0.35,1.41,3.51,0.71
418,0.25,1.41,3.02,0.5
419,0.18,1.41,3.83,0.35
420,0.12,1.41,3.92,0.25
421,0.09,1.41,5.21,0.18
422,0.06,1.41,5.37,0.12
423,1.0,2.0,2.16,4.0
424,0.71,2.0,2.32,2.83
425,0.5,2.0,2.19,2.0
426,0.35,2.0,2.78,1.41
427,0.25,2.0,2.65,1.0
428,0.18,2.0,2.79,0.71
429,0.12,2.0,3.32,0.5
430,0.09,2.0,3.67,0.35
431,0.06,2.0,4.2,0.25
432,1.0,2.83,2.47,8.0
433,0.71,2.83,1.85,5.66
434,0.5,2.83,2.24,4.0
435,0.35,2.83,2.1,2.83
436,0.25,2.83,2.08,2.0
437,0.18,2.83,2.85,1.41
438,0.12,2.83,3.07,1.0
439,0.09,2.83,3.03,0.71
440,0.06,2.83,3.17,0.5
441,1.0,4.0,1.86,16.0
442,0.71,4.0,1.87,11.31
443,0.5,4.0,1.75,8.0
444,0.35,4.0,1.84,5.66
445,0.25,4.0,2.35,4.0
446,0.18,4.0,2.5,2.83
447,0.12,4.0,2.62,2.0
448,0.09,4.0,3.11,1.41
449,0.06,4.0,3.0,1.0
450,1.0,5.66,1.74,32.0
451,0.71,5.66,2.08,22.63
452,0.5,5.66,1.73,16.0
453,0.35,5.66,1.77,11.31
454,0.25,5.66,1.88,8.0
455,0.18,5.66,3.15,5.66
456,0.12,5.66,2.26,4.0
457,0.09,5.66,2.78,2.83
458,0.06,5.66,4.04,2.0
459,1.0,8.0,1.56,64.0
