,data_size,model_size,eval_loss,compute
562,0.25,16.0,11.58,64.0
563,0.18,16.0,13.24,45.25
564,0.12,16.0,17.34,32.0
565,0.09,16.0,49.38,22.63
566,0.06,16.0,122.14,16.0
567,1.0,1.0,11.88,1.0
568,0.71,1.0,19.54,0.71
569,0.5,1.0,21.55,0.5
570,0.35,1.0,16.88,0.35
571,0.25,1.0,22.36,0.25
572,0.18,1.0,29.55,0.18
573,0.12,1.0,30.46,0.12
574,0.09,1.0,43.56,0.09
575,0.06,1.0,88.98,0.06
576,1.0,1.41,10.68,2.0
577,0.71,1.41,15.79,1.41
578,0.5,1.41,15.27,1.0
579,0.35,1.41,18.73,0.71
580,0.25,1.41,23.37,0.5
581,0.18,1.41,20.54,0.35
582,0.12,1.41,30.24,0.25
583,0.09,1.41,37.72,0.18
584,0.06,1.41,51.18,0.12
585,1.0,2.0,15.38,4.0
586,0.71,2.0,15.64,2.83
587,0.5,2.0,11.73,2.0
588,0.35,2.0,14.5,1.41
589,0.25,2.0,21.93,1.0
590,0.18,2.0,17.77,0.71
591,0.12,2.0,24.68,0.5
592,0.09,2.0,49.22,0.35
593,0.06,2.0,78.95,0.25
594,1.0,2.83,9.61,8.0
595,0.71,2.83,10.45,5.66
596,0.5,2.83,13.61,4.0
597,0.35,2.83,17.52,2.83
598,0.25,2.83,13.86,2.0
599,0.18,2.83,21.97,1.41
600,0.12,2.83,26.8,1.0
601,0.09,2.83,24.49,0.71
602,0.06,2.83,143.0,0.5
603,1.0,4.0,7.21,16.0
604,0.71,4.0,10.13,11.31
605,0.5,4.0,10.46,8.0
606,0.35,4.0,11.97,5.66
607,0.25,4.0,14.97,4.0
608,0.18,4.0,13.84,2.83
609,0.12,4.0,20.6,2.0
610,0.09,4.0,32.05,1.41
611,0.06,4.0,160.52,1.0
612,1.0,5.66,8.3,32.0
613,0.71,5.66,11.24,22.63
614,0.5,5.66,10.18,16.0
615,0.35,5.66,14.78,11.31
616,0.25,5.66,12.74,8.0
617,0.18,5.66,18.15,5.66
618,0.12,5.66,19.05,4.0
619,0.09,5.66,49.59,2.83
620,0.06,5.66,115.83,2.0
621,1.0,8.0,9.45,64.0
622,0.71,8.0,10.19,45.25
623,0.5,8.0,8.87,32.0
624,0.35,8.0,11.15,22.63
625,0.25,8.0,20.68,16.0
626,0.18,8.0,25.86,11.31
627,0.12,8.0,20.43,8.0
628,0.09,8.0,48.99,5.66
629,0.06,8.0,76.84,4.0
630,1.0,11.31,6.52,128.0
631,0.71,11.31,11.36,90.51
632,0.5,11.31,10.65,64.0
633,0.35,11.31,13.71,45.25
634,0.25,11.31,9.33,32.0
635,0.18,11.31,15.85,22.63
636,0.12,11.31,22.89,16.0
637,0.09,11.31,33.59,11.31
638,0.06,11.31,277.6,8.0
639,1.0,16.0,9.08,256.0
640,0.71,16.0,11.81,181.02
641,0.5,16.0,8.09,128.0
642,0.35,16.0,7.91,90.51
