,data_size,model_size,eval_loss,compute
1131,0.71,16.0,9.7,181.02
1132,0.5,16.0,14.72,128.0
1133,0.35,16.0,11.73,90.51
1134,1.0,1.0,12.48,1.0
1135,0.71,1.0,24.22,0.71
1136,0.5,1.0,19.85,0.5
1137,0.35,1.0,22.62,0.35
1138,1.0,1.41,14.33,2.0
1139,0.71,1.41,14.48,1.41
1140,0.5,1.41,17.58,1.0
1141,0.35,1.41,17.45,0.71
1142,1.0,2.0,14.25,4.0
1143,0.71,2.0,13.4,2.83
1144,0.5,2.0,15.51,2.0
1145,0.35,2.0,15.25,1.41
1146,1.0,2.83,11.08,8.0
1147,0.71,2.83,8.75,5.66
1148,0.5,2.83,12.59,4.0
1149,0.35,2.83,12.35,2.83
1150,1.0,4.0,11.38,16.0
1151,0.71,4.0,7.93,11.31
1152,0.5,4.0,11.77,8.0
1153,0.35,4.0,12.14,5.66
1154,1.0,5.66,8.86,32.0
1155,0.71,5.66,9.78,22.63
1156,0.5,5.66,9.54,16.0
1157,0.35,5.66,14.96,11.31
1158,1.0,8.0,10.39,64.0
1159,0.71,8.0,11.76,45.25
1160,0.5,8.0,17.19,32.0
1161,0.35,8.0,11.5,22.63
1162,1.0,11.31,8.58,128.0
1163,0.71,11.31,7.8,90.51
1164,0.5,11.31,9.82,64.0
1165,0.35,11.31,13.2,45.25
1166,1.0,16.0,8.84,256.0
1167,0.71,16.0,10.51,181.02
1168,0.5,16.0,10.17,128.0
1169,0.35,16.0,12.27,90.51
