,step,model_size,train_loss,eval_loss,compute,eval_min,train_min,params
64,806272,1.0,0.005780931,0.06204781,103202816.0,0.06204781,0.005780931,1.0
65,819072,1.0,0.06548737,0.060584278,104841216.0,0.060584278,0.005780931,1.0
66,831872,1.0,0.083659098,0.06283425,106479616.0,0.060584278,0.005780931,1.0
67,844672,1.0,0.077233993,0.067970661,108118016.0,0.060584278,0.005780931,1.0
68,857472,1.0,0.060733151,0.07286106,109756416.0,0.060584278,0.005780931,1.0
69,870272,1.0,0.08861652,0.084272494,111394816.0,0.060584278,0.005780931,1.0
70,12672,1.0,0.2075883,0.252730544,1622016.0,0.060584278,0.005780931,1.0
71,25472,1.0,0.201070383,0.174383012,3260416.0,0.060584278,0.005780931,1.0
72,38272,1.0,0.154976517,0.165805663,4898816.0,0.060584278,0.005780931,1.0
73,51072,1.0,0.224697068,0.177439437,6537216.0,0.060584278,0.005780931,1.0
74,63872,1.0,0.15698196,0.13411772,8175616.0,0.060584278,0.005780931,1.0
75,76672,1.0,0.220216617,0.119307492,9814016.0,0.060584278,0.005780931,1.0
76,89472,1.0,0.067366838,0.120082278,11452416.0,0.060584278,0.005780931,1.0
77,102272,1.0,0.057134435,0.116915,13090816.0,0.060584278,0.005780931,1.0
78,115072,1.0,0.123888142,0.100788862,14729216.0,0.060584278,0.005780931,1.0
79,127872,1.0,0.105640203,0.095344849,16367616.0,0.060584278,0.005780931,1.0
80,140672,1.0,0.039285075,0.09405178,18006016.0,0.060584278,0.005780931,1.0
81,153472,1.0,0.057416204,0.088786057,19644416.0,0.060584278,0.005780931,1.0
82,166272,1.0,0.10513638,0.087515331,21282816.0,0.060584278,0.005780931,1.0
83,179072,1.0,0.08620619,0.081226523,22921216.0,0.060584278,0.005780931,1.0
84,191872,1.0,0.110481098,0.106857142,24559616.0,0.060584278,0.005780931,1.0
85,204672,1.0,0.062193822,0.106158541,26198016.0,0.060584278,0.005780931,1.0
86,217472,1.0,0.081795037,0.079563694,27836416.0,0.060584278,0.005780931,1.0
87,230272,1.0,0.136031851,0.087895492,29474816.0,0.060584278,0.005780931,1.0
88,243072,1.0,0.111182541,0.093259277,31113216.0,0.060584278,0.005780931,1.0
89,255872,1.0,0.014819156,0.087613587,32751616.0,0.060584278,0.005780931,1.0
90,268672,1.0,0.070715249,0.108128505,34390016.0,0.060584278,0.005780931,1.0
91,281472,1.0,0.086284339,0.095514053,36028416.0,0.060584278,0.005780931,1.0
92,294272,1.0,0.089649558,0.104273134,37666816.0,0.060584278,0.005780931,1.0
93,307072,1.0,0.084961638,0.079672326,39305216.0,0.060584278,0.005780931,1.0
94,319872,1.0,0.02758326,0.085599698,40943616.0,0.060584278,0.005780931,1.0
95,332672,1.0,0.080530435,0.077143503,42582016.0,0.060584278,0.005780931,1.0
96,345472,1.0,0.207315847,0.084789846,44220416.0,0.060584278,0.005780931,1.0
97,358272,1.0,0.056174491,0.087645427,45858816.0,0.060584278,0.005780931,1.0
98,371072,1.0,0.052584473,0.089969865,47497216.0,0.060584278,0.005780931,1.0
99,383872,1.0,0.015109407,0.088192202,49135616.0,0.060584278,0.005780931,1.0
100,396672,1.0,0.065667339,0.078903107,50774016.0,0.060584278,0.005780931,1.0
101,409472,1.0,0.062885344,0.084033098,52412416.0,0.060584278,0.005780931,1.0
102,422272,1.0,0.094575033,0.075944887,54050816.0,0.060584278,0.005780931,1.0
103,435072,1.0,0.126896232,0.07473082,55689216.0,0.060584278,0.005780931,1.0
104,447872,1.0,0.123671278,0.076050313,57327616.0,0.060584278,0.005780931,1.0
105,460672,1.0,0.072837733,0.075382987,58966016.0,0.060584278,0.005780931,1.0
106,473472,1.0,0.137233526,0.081750644,60604416.0,0.060584278,0.005780931,1.0
107,486272,1.0,0.108263627,0.086718971,62242816.0,0.060584278,0.005780931,1.0
108,499072,1.0,0.063345037,0.092509058,63881216.0,0.060584278,0.005780931,1.0
109,511872,1.0,0.036784738,0.079261137,65519616.0,0.060584278,0.005780931,1.0
